h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
2.28,391,0.269,0.251,5416,5416,0.128,1,0.073582,0.046807,0.036449,0.009674,12.3856,2.3219,2.2982,2.2694,2.2335,2.1878,2.1279,2.0469,1.9354,1.7949,1.6915,1.6749,1.4711,1.2668,1.1814,1.1431,1.1217,1.1078,1.098,1.0906,1.0848,1.0801,3
2.26,465,0.536,0.251,6093,5416,0.108,1,0.12736,0.076377,0.081681,0.030696,5.61417,3.0603,3.0317,2.9967,2.9529,2.8967,2.8219,2.718,2.5657,2.3317,2.0306,1.8656,1.6627,1.4523,1.3528,1.308,1.2836,1.2684,1.2578,1.2502,1.2443,1.2398,3
0.875,566.56,0.25,0.25,3915.72,4180.85,0.1,1,0.11397,0.098924,0.035241,0.0202,9.75783,2.406,2.389,2.3683,2.3425,2.3094,2.2657,2.2057,2.1204,1.9997,1.8536,1.6904,1.4589,1.3386,1.2999,1.2835,1.2744,1.2686,1.2646,1.2615,1.2591,1.2572,3
0.875,566.56,0.15,0.15,3915.72,4180.85,0.1,1,0.091999,0.056814,0.063392,0.028207,4.05782,2.513,2.4942,2.4713,2.4428,2.4063,2.3583,2.2927,2.1994,2.0643,1.8919,1.7205,1.5379,1.4036,1.3292,1.2864,1.259,1.24,1.2262,1.2157,1.2075,1.2009,3
1.87,317.33,0.14,0.067,5996,5996,0.1,1,0.15554,0.10732,0.078863,0.030642,5.52876,2.6442,2.6239,2.599,2.5679,2.528,2.4751,2.4025,2.2994,2.1541,1.9818,1.8048,1.5639,1.4303,1.382,1.3608,1.3492,1.3418,1.3367,1.3329,1.33,1.3277,3
1.87,317.33,0.12,0.02,5914,5996,0.1,1,0.15554,0.10732,0.078863,0.030642,5.52876,2.6442,2.6239,2.599,2.5679,2.528,2.4751,2.4025,2.2994,2.1541,1.9818,1.8048,1.5639,1.4303,1.382,1.3608,1.3492,1.3418,1.3367,1.3329,1.33,1.3277,3
2,276,0.357,0.314,3487,3487,0.1,1,0.11011,0.078785,0.046452,0.015127,13.2127,2.786,2.7618,2.7321,2.695,2.6474,2.5842,2.4968,2.3695,2.1811,1.9637,1.7605,1.4002,1.2614,1.2291,1.2175,1.2114,1.2075,1.2047,1.2025,1.2007,1.1993,3
2,276,0.357,0.314,3487,3487,0.1,1,0.16649,0.084029,0.10325,0.020783,9.39525,2.8378,2.8102,2.7767,2.7355,2.6836,2.6168,2.5284,2.4075,2.2377,2.0165,1.7692,1.452,1.3577,1.3336,1.324,1.319,1.3159,1.314,1.3126,1.3117,1.3109,3
2,276,0.357,0.314,3487,3487,0.1,1,0.2676,0.099368,0.21728,0.049042,5.92914,3.0392,3.0109,2.9763,2.9331,2.8775,2.8036,2.7013,2.5516,2.3201,1.9904,1.7036,1.5668,1.5523,1.5511,1.5503,1.5495,1.5488,1.5482,1.5477,1.5473,1.5469,3
1.5,488,0.32,0.32,4000,5000,0.077,1,0.022997,0.018156,0.020184,0.015344,2.08853,2.6391,2.6178,2.5918,2.5593,2.5174,2.4617,2.3843,2.2712,2.0999,1.8874,1.7671,1.7212,1.6961,1.6762,1.6586,1.6422,1.6273,1.6136,1.6015,1.5906,1.5811,1
1.5,488,0.32,0.32,4000,5000,0.077,1,0.03087,0.029716,0.027067,0.025914,1.71411,2.7486,2.7263,2.6989,2.6646,2.6202,2.561,2.4784,2.3576,2.1769,1.962,1.8424,1.7927,1.7632,1.7396,1.7189,1.6999,1.6825,1.6668,1.6527,1.6403,1.6294,1
1.5,488,0.32,0.32,4000,5000,0.077,1,0.029254,0.026978,0.027705,0.025429,1.60046,2.7544,2.7319,2.7043,2.6699,2.6257,2.5671,2.4864,2.3699,2.1977,1.9906,1.869,1.8142,1.7803,1.753,1.7292,1.708,1.6891,1.6724,1.6578,1.645,1.634,2
